index,n,digits_Q47n,log10_n
559,149012053368,516,11.173221
560,149210411411,516,11.173799
561,149814740059,516,11.175555
562,150141352947,516,11.176500
563,150281889487,516,11.176907
564,150297295890,516,11.176951
565,150616565854,516,11.177873
566,150652059473,516,11.177975
567,150725380753,516,11.178186
568,150915776592,516,11.178735
569,150974614646,516,11.178904
570,152162734309,517,11.182308
571,152744506837,517,11.183966
572,152789753530,517,11.184094
573,152904726575,517,11.184421
574,152907331737,517,11.184428
575,154581742919,517,11.189158
576,154813121843,517,11.189808
577,154831214772,517,11.189859
578,154841960289,517,11.189889
579,154849622426,517,11.189910
580,154973024890,517,11.190256
581,155282936029,517,11.191124
582,155413387351,517,11.191488
583,155710874512,517,11.192319
584,156051074476,517,11.193267
585,156526005356,517,11.194587
586,156710480252,517,11.195098
587,156773751094,517,11.195273
588,157040804680,517,11.196013
589,157089567845,517,11.196147
590,157141773140,517,11.196292
591,157181002636,517,11.196400
592,157452698164,517,11.197150
593,157573077060,517,11.197482
594,157955547233,517,11.198535
595,158361340249,517,11.199649
596,159293236955,517,11.202197
597,159430471996,517,11.202571
598,160093657997,518,11.204374
599,160451317777,518,11.205343
600,160996851395,518,11.206817
601,161040444148,518,11.206935
602,161120637287,518,11.207151
603,162101112079,518,11.209786
604,162115900784,518,11.209826
605,162742040923,518,11.211500
606,162869224963,518,11.211839
607,163190071021,518,11.212694
608,163850531547,518,11.214448
609,164281987788,518,11.215590
610,164527815075,518,11.216239
611,164620045865,518,11.216483
612,164624699440,518,11.216495
613,164872207262,518,11.217147
614,165187200661,518,11.217976
615,165339117253,518,11.218376
616,165575136912,518,11.218995
617,165661268285,518,11.219221
618,165668990497,518,11.219241
619,166607083747,518,11.221693
620,166847461001,518,11.222320
621,167042833851,518,11.222828
622,167350185246,518,11.223626
623,167912330832,519,11.225083
624,167914785368,519,11.225089
625,168181925229,519,11.225779
626,168283371025,519,11.226041
627,168604868160,519,11.226870
628,168700309262,519,11.227116
629,169380958169,519,11.228865
630,169432955848,519,11.228998
631,169873930493,519,11.230127
632,170344242931,519,11.231327
633,170438840233,519,11.231569
634,170622486096,519,11.232036
635,171242234079,519,11.233611
636,171908435073,519,11.235297
637,171935056549,519,11.235364
638,171971403502,519,11.235456
639,172843333077,519,11.237653
640,173204652387,519,11.238560
641,173646143706,519,11.239665
642,173721465569,519,11.239853
643,174592226172,519,11.242025
644,175035923829,519,11.243127
645,175571155381,519,11.244453
646,175719298471,519,11.244819
647,175825247566,519,11.245081
648,176449812428,520,11.246621
649,176780365080,520,11.247434
650,176837893564,520,11.247575
651,176910594747,520,11.247754
652,177420430669,520,11.249004
653,178461679403,520,11.251545
654,178586547574,520,11.251849
655,178747447100,520,11.252240
656,178805665412,520,11.252381
657,178875580402,520,11.252551
658,179230355317,520,11.253412
659,179793240477,520,11.254773
660,180687776450,520,11.256929
661,180714705286,520,11.256993
662,181092904405,520,11.257901
663,181651015937,520,11.259238
664,181937605194,520,11.259922
665,182152915402,520,11.260436
666,182457864795,520,11.261163
667,182501065420,520,11.261265
668,183853791435,520,11.264473
669,183855053786,520,11.264476
670,184063289465,520,11.264967
671,184557367891,520,11.266131
672,184887905278,520,11.266909
673,185348172642,520,11.267988
674,185556943590,521,11.268477
675,185716905753,521,11.268851
676,185995397976,521,11.269502
677,186840786758,521,11.271472
678,187018537639,521,11.271885
679,187863991216,521,11.273844
680,188217309006,521,11.274660
681,188416134014,521,11.275118
682,188972591003,521,11.276399
683,188977194279,521,11.276409
684,189064207208,521,11.276609
685,189329002425,521,11.277217
686,190076663349,521,11.278929
687,190133019361,521,11.279058
